Insult,ID,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,you fuck your dad
0,2,i really do understand your it seems that you are mixing apples and oranges
0,3,of canadians can and has been wrong before now and will be again unless you supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them the breaks and we can always regard you as collateral damage like in wartime and sorry cheques in the mail
0,4,listen if you dont wan na get married to a man or a women dont do it what would it bother you if gay people got married stay in your lane do you let them do them and your god is so nice but quick to judg if your not like him thought you wasnt suppose to judge people
0,5,giang ta khi sau tranh con
0,6,sdl ok but i would hope they sign him to a one year contract to start with give him the chance to be reliable and productive but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits
0,7,yeah and where are you now
1,8,shut the fuck up you and the rest of your faggot friends should be burned at the stake
1,9,either you are fake or extremely stupid maybe both
1,10,that you are an idiot who understands neither taxation nor women health
0,11,jdstorm dont wish him injury but it happened on its own and i doubt he injured he looked embarrassed to me
0,12,be careful has a fork with your name on it
0,13,tonnyb or they just do pay attention
0,14,hmmm perhaps some who are too pig faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can idk stream of consciousnees thought after looking at her
0,15,barrettmarson huh her income was her spending was my math puts that at
1,16,for some reason u sound retarded lol damn where u been negro
1,17,you with the screen are a pieceofshit
0,18,oh cheating as well cup was a cheat fest you still dare to post that on you lol
1,19,your such a dickhead
1,20,your a retard go post your head up your
0,21,you want to say mike macwhogal
0,22,http
0,23,and you know they burned holes in all the carpeting
0,24,you are a land creature you would drown
0,25,to all those doom and gloomers the chicken littles who claim the sky is falling and that society is collapsing canada has had gay marriage nationwide for years where is the disaster where is the collapse and the persecution you shouting about where is it please show us some examples because it starting to look like your threats and fears and warnings are nothing but hot air
0,26,craig we have been saying from the start that this is a very entertaining it awakens the horny little goth in i met my boyfriend during the first season and one of the first thing we did was watch ahs at my i know he likes me and all but to this day he is sure i am far creepier and kinkier than he could ever thanks american horror sweet clam loves you
0,27,strange you are talking about that when there were chelsea fans in here belittling the community shield
0,28,but how would you actually get the key out
0,29,oh cool some more internet points for your collection
0,30,even though i think there are better coaches out there i am glad del negro is keeping his job i never thought he got enough credit those years when he took those average chicago bulls teams he coached to the playoffs years in a row
0,31,how can we spin obama honoring vietnam troops as something does matter look at our followers they take team
0,32,a good article which for all the good it will do could have been delivered to a brick wall
0,33,head up warning another source of funding for media matters is peter lewis of the progessive insurance company you know those auto insurance commercials that run every minutes on cable television featuring the gal who looks like a blow up doll with red lips perfectly round mouth if you know what i mean if you have insurance just know that part of your premium is going to fund a progressive hell country and our free speech their mission is beck dobbs lavin limbaugh boortz etc we must not let them win
0,34,sdnoriko lol as if capcom listens watch them fuck this up too i hope i am wrong i love okami
1,35,sickening you ignorant loser
0,36,fast furious did work out like they planned did it
0,37,mitt is the best candidate for president going against the should help him tremendously is one and done it could happen no other way
1,38,i ca believe the stupid people on this site that have no idea what is going you you are all useful they are hiding the truth because you fools who protect him would look like the useful idiots you are
1,39,fucking behave then you prick
0,40,the only other relevant fact is that he is destroying america
0,41,you are a liar
1,42,is that it your sum total to any conversation is first abuse and then calling them a you are a typical socialist idiot keep up your non existent class warfare it is as pointless as you
0,43,beanstalk briview welp then nbw right
0,44,good job fellas i did quite read the rules about a signature piece but i guess that was as good as any i found some great blogs to follow and to share over at if i not commenting on your blogs it because i always throw my two cents in when i post my share add me on there if you are a googler again congratulations to the winners and i hope we get the chance to submit something else this was fucking fun
0,45,i say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment the lady had a kid week ago women are safe to have sex after child birth for at least weeks so even if this it would have been wayyyyy too soon and hurt the lady i am so glad the the baby is so young and will not remember this event happening in it house and i hope the mother recovers quickly
1,46,faggot
0,47,you right if you are relaxe then you can give better result or perform and your identity should be from your work
1,48,aimless abe you are a delusion weirdo that should be locked up inside and kept away from anyone who doubts the lunacy of abe the moronic prog frog from nyc please read this thread and you will see abe completely come apart from the seams and go off the deep end
0,49,that i do not doubt a blackberry your original argument was not that android would have existed just that android somehow predates ios development
0,50,okc should work out a deal to get a pg who plays more like parker or i think nash at the point and move westbrook to sg that team would be unstoppable imagine the shots nash would create for durant then westbrook would be at his natural position too the guy does create shots or distribute
0,51,show goes on and on alakda show gets the free market wonderful
1,52,even as a troll you are a pathetic failure
0,53,grazie mille sabrina sei
0,54,yeah well it would still be better than letting them sit there for years on my dime before sticking a needle in their veins i say give them all a noose if they choose to kill themselves so be it
0,55,fuck i need a cigarette
1,56,you a moron truth is beyond your reach
0,57,you seem wistful
0,58,damn speedy recovery paul raining prayers down on you
0,59,the laughs you two heard were triggered by memories of his own high flying exits off moving beasts
1,60,your anti semitic rants are not welcomed here you are a racist
0,61,nonstopdrivel was fredex on this team
1,62,god you tiresome get a life you loser
0,63,stop pretending ur not bradley side you the u blind do give us that of yours like that idiot judges exactly carbon copy arum we need our moneyyyy bacckkkkkkk
0,64,fucking weird game man
0,65,i told you i would give it if you did you started acting likje a tough guy behind your moms computer then i asked you times for an address and you still wo give it
0,66,i do know if lewis is a little boy or little girl either way it becomes the third on my list of petulant idiots you will understand when you grow up ask an old bastard member of your family to explain such actions can not be tolerated how come you blame the line judge weird
0,67,thats a pathetic flop fuck you jvg
0,68,why should they bother improving ios if they sell more phones than they care to produce these advice are better served to the also runs wp first and foremost
0,69,spursruss i live in argentina and its not all argentinians the problem being those who are loud on the issue are ill educated and you can be sure they would be rushing to fight anyone they would be cowering in the background my wife is argentinean and she is the first one to recognize the stupidity of the claims some of muppet think they fought their independence against the uk morons the lot of them the answer is simple if we were the leading colonial force you would be an english speaking country you are because werent it was spain portugal france our interests were commercial also the worst part is they themselves exterminated the natives the spanish started it but actually it was the newly formed argies which did most of the killing of the native lovely eh clueless stuff you wonder why the government gets away with corruption so many ignorant people thats why you shouldnt judge all by the standard these a huge amount of argies who see the cristina drum beating for what it is the same as all presidents of argentina do using it to cover their failing
0,70,you better hope because the marlins have a history of giving up their superstars
0,71,well you guys have gone and done it now you put the words and up the required number of times for the dating asians ad to come up evidently zhang and for a bmi of from china wants to meet me she has her little mouth open like she speaking what that you ask zhang well yes as a matter of fact i am a physician why are you clapping your hands together and jumping up and down stop that squealing young lady and yourself
0,72,you mean like your off topic obama rant bellow
0,73,i hope they do it inconjunction with july
0,74,surely will be a crushing blow when he does get the next four years would you consider leaving the country
0,75,i have watched fox news in years true
0,76,are you in france
0,77,i take that temp i really hate the heat
0,78,alexis bledel can act wait can she i have this blind spot when it comes to impossibly beautiful women shit maybe she ca act fuck what the hell do i do now the hell do i do now
0,79,like your i would go one step further it not time to let the people of il fight the citizens of il just need to fight back period will carry next time i travel into little beirut
1,80,fact georgia passed a strict immigration policy and most of the latino farm workers left the area vidalia georgia now has over agriculture job openings and they have been able to fill about of them in past year all you white real americans who are looking for work that the latinos stole from are you the jobs are i vadalia just waiting for maybe its the fact that you would rather collect unemployment like the rest of the tea you you sit at home in your wife beaters and drink real white tea klan
1,81,of course you would bottom feeder
0,82,kill it with fire
1,83,you a fukin moron you are just butthurt that you got rejected on yoursilf scolar or i am better than you just and already a wikipedia you are just a stupid ashole
0,84,he is doing what any president doe on this do not recall if other presidents appeared at the year yea but then again you would never say he did not appear you can not have it both ways
0,85,yeah and you a expert back to picking through trash barrels you tool
0,86,those trails will definitely get plowed regardless of the investigation they just see it as easier to plow the area than deal with it and once they got plowed i would never return or risk getting stopped and heavily questioned by the po po all the stupid comments are unnecessary it really easy to be cold and heartless and act like you do give a fuck but i like to see these anonymous commentators talk shit like that in front of this person family or even their own mother grow up children and learn some respect
0,87,suh had a sack the last time they played
0,88,and you are support argument a hole everyone games on their pc either whores miss the point entirely prefer the mac to my daily work beings said i also a big believer in the best tool for the job and there are certain things that pc do better database and servers for instance thing is that you havent proved anything other than an anti apple bias and name calling guilty myself to get your attention id just juvenile
1,89,you are a fucking dumb ass go back to you xbox dickhead grow up you little fanboy
0,90,you know what would be fun if you guys talked crap back to us more entertaining
0,91,beeline sidneycatsby i assuming you are in school in the states
0,92,they should put all the gay and lesbians on an oh wait there is manhattan
0,93,yolo this is hilarious canyon students are so racist even though most of us are mexican fuck gabby
1,94,lets see your papers then shut the fuuk up sticky chin
0,95,an interesting angle of organized religion is that religious persecution is never ok unless your defending your own you all are victims of religious you are the btw i not i just love how you people try to defend your persecution of others while claiming your are being persecuted
